state,country,design_name,design_description,design_reasoning
New Hampshire,United States,Live Free or Die,"White with green text, 'Live Free or Die' motto (Old Man of Mountain removed)","State motto since 1945, reflects revolutionary war hero General John Stark's words. Old Man rock formation collapsed in 2003 but remained on plates until recent updates."
New Jersey,United States,Garden State,"Buff/yellow background with black text, 'Garden State' slogan","Buff color unique among US plates. 'Garden State' nickname from 1876, represents the state's agriculture despite industrial reputation."
New Mexico,United States,Chile Plate,"Turquoise background with yellow/red, Zia sun symbol, chile graphic option","Zia sun sacred symbol of Zia Pueblo people, represents four directions, seasons, life stages. Turquoise reflects Native American jewelry traditions."
New York,United States,Excelsior,"White with blue and gold design, 'Excelsior' motto, Statue of Liberty, Niagara Falls graphics",'Excelsior' (Ever Upward) is state motto. Design showcases two major landmarks representing NYC and upstate regions.
North Carolina,United States,First in Flight,"White with blue text and red accents, Wright Brothers plane graphic, 'First in Flight'",Commemorates Wright Brothers' first flight at Kitty Hawk in 1903. Design emphasizes North Carolina's role in aviation history.
North Dakota,United States,Legendary,"Sunset sky gradient with blue and gold, 'Legendary' text, Theodore Roosevelt graphic",References Theodore Roosevelt National Park and the president's ranching years in North Dakota. 'Legendary' promotes tourism.
Ohio,United States,Birthplace of Aviation,"White with red border and blue text, 'Birthplace of Aviation' slogan, Wright Flyer graphic","Honors Wright Brothers who were from Dayton, Ohio. Competes with North Carolina's 'First in Flight' claim."
Oklahoma,United States,Native America,"White with scissor-tailed flycatcher bird, 'Native America' option","Scissor-tailed flycatcher is state bird. 'Native America' recognizes Oklahoma's 39 federally recognized tribes, more than any other state."
Oregon,United States,Pacific Wonderland,"White with Douglas fir tree in center, mountain background, 'Pacific Wonderland' option",Douglas fir is state tree. Mountains represent Cascade Range. Design unchanged since 1990s due to public attachment.
Pennsylvania,United States,Keystone State,"Blue, white, and yellow design with 'Pennsylvania' text, state website URL",'Keystone State' represents Pennsylvania's central role in founding America. URL added for online services access.
Rhode Island,United States,Ocean State,"White with blue wave graphic at bottom, 'Ocean State' text, anchor symbol",Wave and 'Ocean State' highlight 400 miles of coastline. Anchor is from state seal representing hope.
South Carolina,United States,Palmetto State,"White with palmetto tree and crescent moon, 'Smiling Faces Beautiful Places' option","Palmetto tree and crescent from state flag, dating to Revolutionary War. Tourism slogan emphasizes Southern hospitality."
South Dakota,United States,Great Faces Great Places,"White with Mount Rushmore graphic, 'Great Faces Great Places' slogan",Mount Rushmore is the state's most famous landmark. Slogan combines the monument with tourism promotion.
Tennessee,United States,Blue Tennessee,"Blue background with white text, 'Tennessee' and 'In God We Trust'",Blue represents Tennessee's nickname 'Volunteer State' from War of 1812. Replaced green rolling hills design in 2022 for better visibility and durability.
Texas,United States,Classic Texas,"White with black text, lone star, blue and red design elements, 'The Lone Star State'",Lone star from state flag represents Texas as independent republic. Design essentially unchanged since 2012 due to strong state identity.
Utah,United States,Life Elevated,"White with red rock arch graphic, 'Life Elevated' slogan, skier graphic option",Delicate Arch from Arches National Park. 'Life Elevated' refers to both altitude and quality of life. Skier represents winter sports industry.
Vermont,United States,Green Mountain State,"White background with green text and graphics, 'Green Mountain State' text",Green represents the Green Mountains (Vermont means 'green mountain' in French). Simple design reflects Vermont's rural character.
Virginia,United States,Virginia is for Lovers,"White with blue text and scenic graphic options, 'Virginia is for Lovers' slogan","Tourism slogan since 1969, one of most successful state tourism campaigns. Multiple scenic options showcase state's diversity."
Washington,United States,Mount Rainier,"White with Mount Rainier graphic and evergreen trees, 'Washington' text",Mount Rainier is the state's most prominent landmark. Evergreen trees represent the state's timber industry and forests.
West Virginia,United States,Wild and Wonderful,"White with blue text and graphics, 'Wild, Wonderful' slogan",Slogan emphasizes outdoor recreation and natural beauty for tourism. Design showcases New River Gorge Bridge.
Wisconsin,United States,America's Dairyland,"White background with barn and farm scene graphic, 'America's Dairyland' text",Barn and farm represent Wisconsin's dairy industry leadership. State produces 26% of nation's cheese.
Wyoming,United States,State Flag Design (2025),"Red, white and blue based on state flag, bucking horse 'Steamboat', county number prefix",New 2025 design reflects state flag. Bucking horse is iconic symbol since 1936. Law requires design change every 8 years. County numbers for local identification.
